review,rating,source,date,bank
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,Google Play,2025-09-21 00:00:00,CBE
very important app,4,Google Play,2025-09-21 00:00:00,CBE
the best of all mobile banking in Ethiopia works perfectly fine,5,Google Play,2025-09-21 00:00:00,CBE
ok,5,Google Play,2025-09-21 00:00:00,CBE
DANTRO BAND!!!,5,Google Play,2025-09-21 00:00:00,CBE
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,Google Play,2025-09-20 00:00:00,CBE
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,Google Play,2025-09-20 00:00:00,CBE
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,Google Play,2025-09-20 00:00:00,CBE
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,Google Play,2025-09-20 00:00:00,CBE
asfaw damse,5,Google Play,2025-09-19 00:00:00,CBE
ok,5,Google Play,2025-09-19 00:00:00,CBE
nice,5,Google Play,2025-09-19 00:00:00,CBE
jabadhaa namatii tolataan,5,Google Play,2025-09-19 00:00:00,CBE
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,Google Play,2025-09-19 00:00:00,CBE
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,Google Play,2025-09-18 00:00:00,CBE
Truly amazing!,5,Google Play,2025-09-18 00:00:00,CBE
Doesn't have option to generate statement for transactions,3,Google Play,2025-09-18 00:00:00,CBE
😎,5,Google Play,2025-09-18 00:00:00,CBE
JanaleBl,5,Google Play,2025-09-17 00:00:00,CBE
very good,5,Google Play,2025-09-17 00:00:00,CBE
very good,5,Google Play,2025-09-17 00:00:00,CBE
nice application,5,Google Play,2025-09-17 00:00:00,CBE
WaaaaaaaW,1,Google Play,2025-09-17 00:00:00,CBE
very nice,5,Google Play,2025-09-16 00:00:00,CBE
Of,5,Google Play,2025-09-16 00:00:00,CBE
it's best app to use recently and upgraded day to day for internationalization,4,Google Play,2025-09-16 00:00:00,CBE
Easy to use and not Complicated 👍,5,Google Play,2025-09-15 00:00:00,CBE
apdat the app,5,Google Play,2025-09-14 00:00:00,CBE
good in bankin at any time & any where.,5,Google Play,2025-09-13 00:00:00,CBE
