review,rating,source,date,bank
good,5,Google Play,2025-05-02 00:00:00,BoA
good,4,Google Play,2025-04-30 00:00:00,BoA
good,4,Google Play,2025-04-30 00:00:00,BoA
wow,5,Google Play,2025-04-28 00:00:00,BoA
it's really good 👍,5,Google Play,2025-04-23 00:00:00,BoA
Bad app . it stuck when you open and noting WORKS.,1,Google Play,2025-04-23 00:00:00,BoA
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,Google Play,2025-04-20 00:00:00,BoA
Best,2,Google Play,2025-04-19 00:00:00,BoA
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,Google Play,2025-04-19 00:00:00,BoA
yideg,1,Google Play,2025-04-18 00:00:00,BoA
great boa,5,Google Play,2025-04-10 00:00:00,BoA
Best,5,Google Play,2025-04-10 00:00:00,BoA
boa of mobile backing,5,Google Play,2025-04-09 00:00:00,BoA
nice,5,Google Play,2025-04-09 00:00:00,BoA
faster bank of Abissinya,5,Google Play,2025-04-08 00:00:00,BoA
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,Google Play,2025-04-08 00:00:00,BoA
it just doesn't work...so frustrating,1,Google Play,2025-04-07 00:00:00,BoA
like,5,Google Play,2025-04-06 00:00:00,BoA
it's not work correctly... you must have update it,1,Google Play,2025-04-06 00:00:00,BoA
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,Google Play,2025-04-04 00:00:00,BoA
after i typed in my password it says successfully logged out ...and goes back to the first page,2,Google Play,2025-04-04 00:00:00,BoA
good but they don't update enough don't add new things,3,Google Play,2025-04-04 00:00:00,BoA
very good,5,Google Play,2025-04-03 00:00:00,BoA
thank you,5,Google Play,2025-04-02 00:00:00,BoA
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,Google Play,2025-04-01 00:00:00,BoA
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,Google Play,2025-03-31 00:00:00,BoA
good application,5,Google Play,2025-03-30 00:00:00,BoA
this version is not working for me I cannot even buy card. I cannot send money,1,Google Play,2025-03-30 00:00:00,BoA
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,Google Play,2025-03-29 00:00:00,BoA
always problematic hardly works,1,Google Play,2025-03-26 00:00:00,BoA
considering the fact the bank is huge this app really bad you could do better,1,Google Play,2025-03-25 00:00:00,BoA
best app,5,Google Play,2025-03-25 00:00:00,BoA
very good,5,Google Play,2025-03-25 00:00:00,BoA
"worst app and Bank ever u be ashamed, scammer",1,Google Play,2025-03-24 00:00:00,BoA
great BoA,5,Google Play,2025-03-22 00:00:00,BoA
best,5,Google Play,2025-03-21 00:00:00,BoA
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,Google Play,2025-03-21 00:00:00,BoA
good,5,Google Play,2025-03-21 00:00:00,BoA
good,5,Google Play,2025-03-19 00:00:00,BoA
there is no speed,1,Google Play,2025-03-19 00:00:00,BoA
"For anyone who wants to download it, just don't!!!",1,Google Play,2025-03-19 00:00:00,BoA
wonderful,5,Google Play,2025-03-19 00:00:00,BoA
all worck,5,Google Play,2025-03-19 00:00:00,BoA
Loved it,5,Google Play,2025-03-14 00:00:00,BoA
Wow,1,Google Play,2025-03-14 00:00:00,BoA
